cod_distrito,cod_concelho,nome_concelho,casos,dia
17,4,Mesão Frio,,25-03-2020
6,8,Mira,,25-03-2020
6,9,Miranda do Corvo,,25-03-2020
4,6,Miranda do Douro,,25-03-2020
4,7,Mirandela,3,25-03-2020
4,8,Mogadouro,,25-03-2020
18,7,Moimenta da Beira,,25-03-2020
15,6,Moita,5,25-03-2020
8,9,Monchique,,25-03-2020
17,5,Mondim de Basto,,25-03-2020
12,11,Monforte,,25-03-2020
17,6,Montalegre,,25-03-2020
7,6,Montemor-o-Novo,,25-03-2020
6,10,Montemor-o-Velho,,25-03-2020
15,7,Montijo,4,25-03-2020
16,4,Monção,,25-03-2020
7,7,Mora,,25-03-2020
18,8,Mortágua,,25-03-2020
2,10,Moura,,25-03-2020
7,8,Mourão,,25-03-2020
1,12,Murtosa,,25-03-2020
17,7,Murça,,25-03-2020
2,9,Mértola,,25-03-2020
10,11,Nazaré,,25-03-2020
18,9,Nelas,,25-03-2020
12,12,Nisa,,25-03-2020
42,2,Nordeste,,25-03-2020
2,11,Odemira,,25-03-2020
11,16,Odivelas,18,25-03-2020
11,10,Oeiras,17,25-03-2020
5,6,Oleiros,,25-03-2020
8,10,Olhão,,25-03-2020
1,13,Oliveira de Azeméis,18,25-03-2020
18,10,Oliveira de Frades,,25-03-2020
1,14,Oliveira do Bairro,,25-03-2020
6,11,Oliveira do Hospital,,25-03-2020
2,12,Ourique,,25-03-2020
14,21,Ourém,3,25-03-2020
1,15,Ovar,58,25-03-2020
15,8,Palmela,,25-03-2020
6,12,Pampilhosa da Serra,,25-03-2020
13,10,Paredes,8,25-03-2020
16,5,Paredes de Coura,,25-03-2020
13,9,Paços de Ferreira,10,25-03-2020
10,13,Pedrógão Grande,,25-03-2020
6,13,Penacova,,25-03-2020
13,11,Penafiel,7,25-03-2020
18,11,Penalva do Castelo,,25-03-2020
5,7,Penamacor,,25-03-2020
18,12,Penedono,,25-03-2020
6,14,Penela,,25-03-2020
10,14,Peniche,,25-03-2020
17,8,Peso da Régua,,25-03-2020
9,10,Pinhel,,25-03-2020
10,15,Pombal,3,25-03-2020
42,3,Ponta Delgada,,25-03-2020
31,5,Ponta do Sol,,25-03-2020
16,6,Ponte da Barca,,25-03-2020
16,7,Ponte de Lima,,25-03-2020
12,13,Ponte de Sor,,25-03-2020
12,14,Portalegre,,25-03-2020
7,9,Portel,,25-03-2020
8,11,Portimão,7,25-03-2020
13,12,Porto,137,25-03-2020
31,6,Porto Moniz,,25-03-2020
32,1,Porto Santo,,25-03-2020
10,16,Porto de Mós,,25-03-2020
42,4,Povoação,,25-03-2020
43,2,Praia da Vitória,,25-03-2020
5,8,Proença-a-Nova,,25-03-2020
3,9,Póvoa de Lanhoso,,25-03-2020
13,13,Póvoa de Varzim,,25-03-2020
7,10,Redondo,,25-03-2020
7,11,Reguengos de Monsaraz,,25-03-2020
18,13,Resende,,25-03-2020
31,7,Ribeira Brava,,25-03-2020
42,5,Ribeira Grande,,25-03-2020
17,9,Ribeira de Pena,,25-03-2020
14,14,Rio Maior,,25-03-2020
17,10,Sabrosa,,25-03-2020
9,11,Sabugal,,25-03-2020
