data,concelho,confirmados_14,confirmados_1,incidencia,incidencia_categoria,incidencia_risco,distrito,dicofre,area,population,population_65_69,population_70_74,population_75_79,population_80_84,population_85_mais,population_80_mais,population_75_mais,population_70_mais,population_65_mais,densidade_populacional,densidade_1,densidade_2,densidade_3
11-11-2020,FERREIRA DO ALENTEJO,28,2,357.0,"Acima de 240,0 ",Muito elevada,BEJA,0208,64820.68,7845,515,414,372,343,345,688,1060,1474,1989,12.1,3.07,2.27,1.64
11-11-2020,FERREIRA DO ZÊZERE,7,1,88.0,"Entre 60,0 e 119,9",Moderada,SANTARÉM,1411,19038.03,7959,470,370,416,465,456,921,1337,1707,2177,41.81,11.44,8.97,7.02
11-11-2020,FIGUEIRA DA FOZ,299,21,509.0,"Acima de 240,0 ",Muito elevada,COIMBRA,0605,37905.26,58747,4032,3597,2887,2495,2043,4538,7425,11022,15054,154.98,39.72,29.08,19.59
11-11-2020,FIGUEIRA DE CASTELO RODRIGO,50,4,895.0,"Acima de 240,0 ",Muito elevada,GUARDA,0904,50857.46,5584,347,352,290,352,391,743,1033,1385,1732,10.98,3.41,2.72,2.03
11-11-2020,FIGUEIRÓ DOS VINHOS,6,0,108.0,"Entre 60,0 e 119,9",Moderada,LEIRIA,1008,17344.0,5568,402,386,322,309,351,660,982,1368,1770,32.1,10.21,7.89,5.66
11-11-2020,FORNOS DE ALGODRES,11,1,243.0,"Acima de 240,0 ",Muito elevada,GUARDA,0905,13145.05,4528,261,218,247,256,232,488,735,953,1214,34.45,9.24,7.25,5.59
11-11-2020,FREIXO DE ESPADA À CINTA,51,4,1546.0,"Acima de 240,0 ",Muito elevada,BRAGANÇA,0404,24414.29,3298,211,177,231,196,189,385,616,793,1004,13.51,4.11,3.25,2.52
11-11-2020,FRONTEIRA,2,0,67.0,"Entre 60,0 e 119,9",Moderada,PORTALEGRE,1208,24859.58,2974,213,182,149,156,168,324,473,655,868,11.96,3.49,2.63,1.9
11-11-2020,FUNCHAL,82,6,79.0,"Entre 60,0 e 119,9",Moderada,MADEIRA,3103,7616.2,104024,6382,5086,3643,2821,1990,4811,8454,13540,19922,1365.86,261.58,177.78,111.0
11-11-2020,FUNDÃO,183,13,691.0,"Acima de 240,0 ",Muito elevada,CASTELO BRANCO,0504,70019.79,26495,1781,1464,1432,1357,1643,3000,4432,5896,7677,37.84,10.96,8.42,6.33
11-11-2020,GAVIÃO,6,0,184.0,"Entre 120,0 e 239,9",Elevada,PORTALEGRE,1209,29459.45,3263,189,186,222,263,293,556,778,964,1153,11.08,3.91,3.27,2.64
11-11-2020,GÓIS,5,0,131.0,"Entre 120,0 e 239,9",Elevada,COIMBRA,0606,26330.19,3805,235,199,240,233,244,477,717,916,1151,14.45,4.37,3.48,2.72
11-11-2020,GOLEGÃ,8,1,150.0,"Entre 120,0 e 239,9",Elevada,SANTARÉM,1412,8431.67,5339,356,299,281,243,255,498,779,1078,1434,63.32,17.01,12.78,9.24
11-11-2020,GONDOMAR,1525,109,919.0,"Acima de 240,0 ",Muito elevada,PORTO,1304,13191.76,165985,10555,8755,6222,4450,3364,7814,14036,22791,33346,1258.22,252.77,172.76,106.4
11-11-2020,GOUVEIA,17,1,137.0,"Entre 120,0 e 239,9",Elevada,GUARDA,0906,30061.17,12387,871,931,780,783,810,1593,2373,3304,4175,41.21,13.89,10.99,7.89
11-11-2020,GRÂNDOLA,62,4,424.0,"Acima de 240,0 ",Muito elevada,SETÚBAL,1505,82593.66,14639,834,834,708,688,672,1360,2068,2902,3736,17.72,4.52,3.51,2.5
11-11-2020,GUARDA,411,29,1055.0,"Acima de 240,0 ",Muito elevada,GUARDA,0907,71209.58,38969,2477,2041,1686,1415,1474,2889,4575,6616,9093,54.72,12.77,9.29,6.42
11-11-2020,GUIMARÃES,2873,205,1886.0,"Acima de 240,0 ",Muito elevada,BRAGA,0308,24099.96,152309,9394,7074,4809,3877,2948,6825,11634,18708,28102,631.99,116.61,77.63,48.27
11-11-2020,HORTA,4,0,28.0,"Entre 20,0 e 59,9",Baixa,AÇORES,4701,17305.53,14521,818,658,468,352,302,654,1122,1780,2598,83.91,15.01,10.29,6.48
11-11-2020,IDANHA-A-NOVA,85,6,1057.0,"Acima de 240,0 ",Muito elevada,CASTELO BRANCO,0505,141633.51,8043,518,490,519,672,974,1646,2165,2655,3173,5.68,2.24,1.87,1.53
11-11-2020,ÍLHAVO,160,11,413.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0110,7347.55,38699,2227,1943,1444,1193,850,2043,3487,5430,7657,526.66,104.21,73.9,47.46
11-11-2020,LAGOA (FARO),37,3,163.0,"Entre 120,0 e 239,9",Elevada,FARO,0806,8825.45,22762,1314,1168,919,749,670,1419,2338,3506,4820,257.93,54.62,39.73,26.49
11-11-2020,LAGOA,8,1,54.0,"Entre 20,0 e 59,9",Baixa,AÇORES,4201,4559.32,14721,536,458,349,238,235,473,822,1280,1816,322.9,39.83,28.08,18.03
11-11-2020,LAGOS,74,5,244.0,"Acima de 240,0 ",Muito elevada,FARO,0807,21299.27,30374,1744,1434,1247,1053,1029,2082,3329,4763,6507,142.61,30.55,22.36,15.63
11-11-2020,LAJES DAS FLORES,0,0,0.0,"Abaixo de 20,0",Muito baixa,AÇORES,4801,7004.79,1463,88,53,62,46,54,100,162,215,303,20.89,4.33,3.07,2.31
11-11-2020,LAJES DO PICO,0,0,0.0,"Abaixo de 20,0",Muito baixa,AÇORES,4601,15531.09,4490,304,231,223,159,162,321,544,775,1079,28.91,6.95,4.99,3.5
11-11-2020,LAMEGO,72,5,289.0,"Acima de 240,0 ",Muito elevada,VISEU,1805,16542.11,24895,1639,1284,1124,898,783,1681,2805,4089,5728,150.5,34.63,24.72,16.96
11-11-2020,LEIRIA,294,21,235.0,"Entre 120,0 e 239,9",Elevada,LEIRIA,1009,56508.83,125267,7389,6366,5090,3902,3159,7061,12151,18517,25906,221.68,45.84,32.77,21.5
11-11-2020,LISBOA,2935,210,576.0,"Acima de 240,0 ",Muito elevada,LISBOA,1106,10005.43,509515,33197,33340,27706,23037,26770,49807,77513,110853,144050,5092.6,1439.78,1107.98,774.74
11-11-2020,LOULÉ,148,11,215.0,"Entre 120,0 e 239,9",Elevada,FARO,0808,76366.91,68697,3890,3350,2780,2358,2251,4609,7389,10739,14629,89.96,19.16,14.06,9.68
11-11-2020,LOURES,1096,78,513.0,"Acima de 240,0 ",Muito elevada,LISBOA,1107,16723.99,213687,12746,12794,9644,6669,5033,11702,21346,34140,46886,1277.73,280.35,204.14,127.64
11-11-2020,LOURINHÃ,55,4,213.0,"Entre 120,0 e 239,9",Elevada,LISBOA,1108,14717.2,25855,1584,1243,992,842,645,1487,2479,3722,5306,175.68,36.05,25.29,16.84
11-11-2020,LOUSÃ,41,3,239.0,"Entre 120,0 e 239,9",Elevada,COIMBRA,0607,13840.01,17158,946,866,658,528,450,978,1636,2502,3448,123.97,24.91,18.08,11.82
11-11-2020,LOUSADA,1572,112,3362.0,"Acima de 240,0 ",Muito elevada,PORTO,1305,9608.01,46755,2289,1698,1176,853,621,1474,2650,4348,6637,486.63,69.08,45.25,27.58
11-11-2020,MAÇÃO,3,0,48.0,"Entre 20,0 e 59,9",Baixa,SANTARÉM,1413,39997.98,6267,386,362,390,440,657,1097,1487,1849,2235,15.67,5.59,4.62,3.72
11-11-2020,MACEDO DE CAVALEIROS,67,5,462.0,"Acima de 240,0 ",Muito elevada,BRAGANÇA,0405,69914.08,14516,1082,889,878,823,938,1761,2639,3528,4610,20.76,6.59,5.05,3.77
